nct_id,brief_title,official_title,brief_summary,detailed_description,overall_status,why_stopped,start_date,completion_date,primary_completion_date,study_type,phases,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type
NCT02280694,Low Dose Metronomic Poly-chemotherapy for Metastatic CRC,Metronomic Poly-chemotherapy for Metastatic Colorectal Cancer at Progression Following Established Treatments: Clinical and Laboratory Research,"This study investigates the activity of a new regimen of treatment for patients with metastatic colorectal carcinoma. This includes a combination of well-known chemotherapy agents and anti-inflammatory agents, when administered orally at low daily doses and without planed brakes (Low Dose Metronomic regimen), in contrast with the conventional and already exhausted regimens of treatment at Maximal Tolerated Doses (MTD) which required pre-planned brakes between treatment days.","Patients suffering from metastases of colorectal cancer whose tumor cells develop resistance to conventionally administered treatments are in need for new methods of treatment.

While their chemotherapy had been administered up till then at the classical regimen of Maximal Tolerated Doses (MTD), which is aimed to directly killing maximal fractions of tumor cells, the present study evaluates the clinical benefit of a treatment which is based on old chemotherapeutic and old anti-inflammatory drugs, when these are administered at low doses,on daily basis and orally taken, without planed brakes (Low Dose Metronomic regimen).

Treatments based on this type of regimen have already been studied on other models of cancer and showed the capacity of suppressing tumor growth by a new category of anti-tumor effects. Namely, by affecting factors and mechanisms which prevail in the microenvironment that surrounds tumor deposits, thus circumventing the resistance of their cancer cells to chemotherapy.",COMPLETED,,2015-01,2019-12,2019-01,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,TREATMENT,45,ACTUAL
NCT03549494,Evaluation of Ocoxin®-Viusid® in Advanced Stomach Cancer and Gastric Esophagogastric Junction,Effect of Ocoxin®-Viusid® Nutritional Supplement on the Quality of Life of Patients With Advanced Stomach Cancer and Esophagogastric Junction. Phase II Clinical Trial.,Our main objective is to evaluate the effect of Ocoxin-Viusid on the quality of life of patients with advanced stomach cancer and esophagogastric junction. The Ocoxin-Viusid nutritional supplement is expected to improve quality of life and tolerance to treatment with Chemotherapy.,"* To evaluate the effect of Ocoxin-Viusid on the quality of life of patients
* To evaluate the toxicity of Ocoxin-Viusid in combination with chemotherapy (QT).
* To assess the influence of Ocoxin-Viusid on tolerance to treatment with chemotherapy.
* Identify the changes that occur in the nutritional status of patients receiving the supplement.",COMPLETED,,2018-10-25,2023-02-15,2022-06-15,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,SUPPORTIVE_CARE,45,ACTUAL
NCT05613894,Dose-Escalation Study of Cabozantinib in Combination With Lutetium-177 (177Lu)-PSMA-617 in Patients With Metastatic Castration-Resistant Prostate Cancer,A Phase Ib Dose-Escalation Study of Cabozantinib in Combination With Lutetium-177 (177Lu)-PSMA-617 in Patients With Metastatic Castration-Resistant Prostate Cancer (mCRPC),"This is an open-label, phase 1b dose-escalation study of cabozantinib in combination with 177Lu-PSMA-617 in subjects with mCRPC. The primary hypothesis is that cabozantinib with 177Lu-PSMA will be safe and have efficacy in patients with mCRPC. The dose-escalation phase (Part 1) will assess the rate of dose-limiting toxicities (DLTs) during the DLT evaluation period and identify the MTD and/or recommended dose and schedule for the subsequent expansion phase (Part 2).",,RECRUITING,,2023-07-14,2028-05-01,2026-05-01,INTERVENTIONAL,PHASE1,NON_RANDOMIZED,SEQUENTIAL,NONE,TREATMENT,33,ESTIMATED
NCT00749294,Anogenital Wart Burden and Cost of Illnesses,"Measurement of Anogenital Wart Burden, and Cost of Illnesses in Bangkok","The study will be a prospective study of patients presenting with anogenital warts. The objective are to assess proportion of anogenital warts to the total number of sexual transmitted infection patients, to quantify direct and indirect cost of illnesses and psychological burden associated with anogenital warts and to estimate government program expenditure for the prevention and control and treatment of the STI/anogenital HPV infection.","An observational study, multiple visit, 2-center study will be conducted in Rajavithi General Hospital, and Bangrak Hospital. One hundred and fifty subjects will be enrolled from both hospitals. Anogenital wart patients presented in Rajavithi General Hospital and the STI clinic at Bangrak Hospital will be recruited prospectively. All patients will be treated according to standard medical guidelines or usual care of the institutes. After the baseline assessment, the patients will have follow up visits with their physicians and will also be interviewed at the clinical sites three time approximately at day 7 (-2+7 days), month 1 (+-7 days), and month 6 (+-7 days) until they are cure. At month 6 (+-14 days), telephone assessment for the capture of any signs of disease recurrence will be done. All patients will be followed for 6 months under the same schedule.",COMPLETED,,2008-06,2009-08,2009-08,OBSERVATIONAL,,,,,,150,ESTIMATED
NCT05565794,Pemigatinib After Curative Local Therapy in Advanced iCCA With FGFR2 Fusion/Rearrangements,A Phase II Study of Pemigatinib After Curative Local Therapy in Locally Advanced Intrahepatic Cholangiocarcinoma (iCCA) Harboring FGFR2 Fusions/Rearrangements.,"The aim of this phase II study is to determine whether pemigatinib is clinically efficious after curative local therapy such as surgery/ SBRT or ablation in iCCA patients harboring FGFR2 fusion/rearrangement and to assess the safety profile to support the continuation of the concept in a large, randomized trial for further development.","This is a prospective, exploratory, single-arm, non-randomized, open-label phase II study to investigate whether pemigatinib is clinically efficacious after curative local treatment including surgery/ SBRT or ablation in iCCA patients with FGFR2 fusion/rearrangements.

Patients will receive pemigatinib 13.5 mg oral once daily (21-day cycle; two weeks on, one week off) until disease recurrence, unacceptable toxicity, withdrawal of consent, or investigator decision, but no longer than 12 months (max. 18 cycles).

The primary objective is to assess the efficacy of pemigatinib administered after curative local therapy in treatment-naïve patients with resectable intrahepatic biliary tract cancer (recurrence free survival rate at 12 months, RFS@12).

Secondary objectives are to assess the efficacy by overall survival (OS) and recurrence free survival (RFS); to assess safety of the treatment (AEs, impact on liver function, use of subsequent therapies); to assess quality of life (QoL).

In addition, tissue samples will be analyzed for biomarkers predictive for RFS and OS.

20 patients are to be enrolled in this trial.",TERMINATED,slow recruitment,2022-11-11,2025-03-27,2025-03-27,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,TREATMENT,2,ACTUAL
NCT04329494,"PIPAC for the Treatment of Peritoneal Carcinomatosis in Patients With Ovarian, Uterine, Appendiceal, Colorectal, or Gastric Cancer","Safety and Efficacy of Pressurized Intraperitoneal Aerosolized Chemotherapy (PIPAC) in Ovarian, Uterine, Appendiceal, Colorectal, and Gastric Cancer Patients With Peritoneal Carcinomatosis (PC)","This phase I trial studies the side effects of pressurized intraperitoneal aerosol chemotherapy (PIPAC) in treating patients with ovarian, uterine, appendiceal, stomach (gastric), or colorectal cancer that has spread to the lining of the abdominal cavity (peritoneal carcinomatosis). Chemotherapy drugs, such as cisplatin, doxorubicin, oxaliplatin, leucovorin, fluorouracil, mitomycin, and irinotecan, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. PIPAC is a minimally invasive procedure that involves the administration of intraperitoneal chemotherapy. The study device consists of a nebulizer (a device that turns liquids into a fine mist), which is connected to a high-pressure injector, and inserted into the abdomen (part of the body that contains the digestive organs) during a laparoscopic procedure (a surgery using small incisions to introduce air and to insert a camera and other instruments in the abdominal cavity for diagnosis and/or to perform routine surgical procedures). Pressurization of the liquid chemotherapy through the study device results in aerosolization (a fine mist or spray) of the chemotherapy intra-abdominally (into the abdomen). Giving chemotherapy through PIPAC may reduce the amount of chemotherapy needed to achieve acceptable drug concentration, and therefore potentially reduces side effects and toxicities.","PRIMARY OBJECTIVES:

I. To evaluate the safety of pressurized intraperitoneal aerosol chemotherapy (PIPAC) in 3 groups of patients: peritoneal carcinomatosis (PC) due to primary ovarian, uterine, or gastric carcinoma (Arm 1); PC due to primary colorectal or appendiceal carcinoma (Arm 2).

II. To evaluate safety of PIPAC and identify the maximum tolerated dose (MTD) of PIPAC with MMC in patients with PC due to colorectal or appendiceal carcinoma (Arm 3).

SECONDARY OBJECTIVES:

I. Ability to proceed to cytoreduction with/without hyperthermic intraperitoneal chemotherapy (HIPEC) (Arm 3 patients).

II. Efficacy will be assessed by:

Ia. Response Evaluation Criteria in Solid Tumors (RECIST), if available, version 1.1 via computed tomography (CT) scan at baseline (week 10, and 6 weeks after completing treatment; and at 18 weeks).

Ib. Peritoneal regression grading score (PRGS) via biopsy at each cycle (both pre-PIPAC and post-PIPAC peritoneal samples will be obtained).

Ic. Peritoneal carcinomatosis index (PCI) at the time of laparoscopy. II. Post-operative surgical complications by Claven-Dindo classification evaluated at 4, 10, and 16 weeks (4 weeks after each PIPAC).

III. Progression-free survival. IV. PIPAC technical failure rate. V. Patient-reported health state/quality of life and symptoms before treatment and at 6, 12, and 18 weeks as measured by the European Quality of Life Five Dimension Five Level Scale Questionnaire (EQ-5D-5L) and MD Anderson Symptom Inventory (MDASI).

VI. Functional status, as measured by the number of daily steps before and after treatments (Vivofit 4 wristband pedometer - Garmin Company).

EXPLORATORY OBJECTIVE:

I. Correlative/translational studies to characterize the tumor microenvironment, subclonal evolution, genomics, and pharmacokinetics of peritoneal tumors.

OUTLINE: Patients are assigned to 1 of 3 arms.

ARM I: Patients with ovarian, uterine, or gastric cancer, undergo PIPAC with doxorubicin intraperitoneally (IP), followed by cisplatin IP. Treatment repeats every 4-6 weeks for up to 3 cycles in the absence of disease progression or unacceptable toxicity.

ARM II: Patients with colorectal or appendiceal cancer undergo PIPAC with oxaliplatin IP. For cycles 2 and 3, patients receive leucovorin intravenously (IV) over 10 minutes and fluorouracil IV over 15 minutes 1-24 hours before undergoing PIPAC. Treatment repeats every 4-6 weeks for up to 3 cycles in the absence of disease progression or unacceptable toxicity.

ARM III: Patients with colorectal or appendiceal cancer who have undergo at least 4 months (or 8 cycles) of first-line standard of care chemotherapy but have not progressed on second line chemotherapy undergo PIPAC with mitomycin IP. Patients also receive standard of care irinotecan IV over 90 on day 1, leucovorin IV over 30 minutes on day 1, and fluorouracil IV on days 1-2 during weeks 2, 4, 8, 10, 14 and 16. Treatment repeats every 4-6 weeks for up to 3 cycles in the absence of disease progression or unacceptable toxicity.

After completion of study treatment, patients are followed up every 12 weeks for up to 3 years.",RECRUITING,,2020-08-21,2026-08-05,2026-08-05,INTERVENTIONAL,PHASE1,NON_RANDOMIZED,PARALLEL,NONE,TREATMENT,49,ESTIMATED
NCT04270994,Misoprostol as a Treatment for Endometrial Polyps in Infertile Patients,Misoprotol as a Treatment for Endometrial Polyps in Infertile Patients,"Endometrial polyps are one of the main causes of infertility in women. In this work we propose an alternative, effective, economical and safe treatment: the use of misoprostol","The prevalence of uterine polyps has been estimated in the general population at 10-15%, while in infertile patients it ranges from 6-32%. Its etiology is considered as multifactorial. Polyps induce a local inflammatory response in the endometrial cavity, causing infertility. The treatment of choice considered ""gold standard"" is the excision by hysteroscopy, however, improvement has been shown in patients with conservative management due to the regression rate of 27%. There are no recommended drugs to provide a definitive treatment for uterine polyps. Misoprostol is a synthetic analogue derived from prostaglandin E1 that has stimulating effects on the smooth muscle fibers of the uterus, causing contractions of the myometrium, which cause endouterine evacuation. The present study shows a possible utility of misoprostol for the conservative treatment of uterine polyps.",COMPLETED,,2016-09,2019-11,2019-08,INTERVENTIONAL,PHASE2|PHASE3,NA,SINGLE_GROUP,NONE,TREATMENT,54,ACTUAL
NCT05164094,"A Study of an Epstein-Barr Virus (EBV) Candidate Vaccine, mRNA-1189, in 10- to 30-Year-Old Healthy Adolescents and Adults","A Phase 1/2, Randomized, Observer-Blind, Placebo-Controlled, Dose-Ranging Study of an Epstein-Barr Virus (EBV) Candidate Vaccine, mRNA-1189, in 10- to 30-Year-Old Healthy Adolescents and Adults","The main objective of Part A of this trial is to evaluate the safety and reactogenicity of mRNA-1189 in 18- to 30-year-old healthy adults, the main objective of Part B is to evaluate the safety and reactogenicity of mRNA-1189 in 12- to \<18-year-old healthy EBV-seronegative adolescents, and the main objective of Part C is to evaluate the safety and reactogenicity of mRNA-1189 in 10- to 21-year-old healthy adolescents and adults.",,ACTIVE_NOT_RECRUITING,,2021-12-28,2026-10-05,2026-10-05,INTERVENTIONAL,PHASE1|PHASE2,RANDOMIZED,PARALLEL,QUADRUPLE,PREVENTION,867,ACTUAL
NCT02094794,Total Marrow and Lymphoid Irradiation and Chemotherapy Before DSCT in Treating Patients With High-Risk ALL or AML,Phase II Study of Total Marrow and Lymphoid Irradiation (TMLI) Given in Combination With Cyclophosphamide and Etoposide as Conditioning for Allogeneic (HSCT) in Patients With High-Risk Acute Lymphocytic or Myelogenous Leukemia,"This phase II trial studies the safety and efficacy of total marrow and lymphoid irradiation (TMLI) in combination with two chemotherapy drugs, etoposide and cyclophosphamide, as a preparative regimen before donor stem cell transplant in treating patients with high-risk acute lymphocytic leukemia (ALL) or acute myeloid leukemia (AML) who have failed previous therapy. Intensity-modulated radiation therapy (IMRT) uses imaging to provide a three-dimensional view of the area to be irradiated. Doctors can then shape and direct the radiation beams at the area from multiple directions while avoiding, as much as possible, nearby organs. TMLI is a method of using IMRT to direct radiation to the bone marrow. Radiation therapy is given before transplant to suppress the immune system, prevent rejection of the transplanted cells, and wipe out any remaining cancer cells. TMLI may allow a greater radiation dose to be delivered to the bone marrow as a preparative regimen before transplant while causing fewer side effects than standard radiation therapy.","PRIMARY OBJECTIVES: I. Following a patient safety lead-in, evaluate the anti-tumor activity of the allogeneic hematopoietic cell transplant (alloHCT) preparative regimen - TMLI, cyclophosphamide (Cy) and etoposide (VP-16), as assessed by 2-year progression-free survival (PFS).

SECONDARY OBJECTIVES: I. Estimate overall survival (OS), cumulative incidence (CI) of relapse/progression, and non-relapse mortality (NRM) at 100 days, 1 year and 2 years.

II. Evaluate early and late toxicities/complications by organ and severity, and characterize by organ dose/dose volume, including acute/chronic graft-versus-host-disease (GVHD), infection, and longer-term complications (via protocol #s 07173 and 00029).

OUTLINE: Patients undergo image guided TMLI on days -9 to -5, receive etoposide intravenously (IV) on day -4 and cyclophosphamide IV on day -2, and undergo allogeneic peripheral blood stem cell or bone marrow transplant on day 0.

After completion of study treatment, patients are followed up for 5 years.",ACTIVE_NOT_RECRUITING,,2014-05-12,2026-05-26,2026-05-26,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,TREATMENT,108,ACTUAL
NCT01119794,Ofatumumab and Bortezomib for Patients With Low-grade B-cell Non-hodgkin Lymphoma That Relapse After Rituximab,Ofatumumab in Combination With Bortesomib in Patients With Relapsed or Refractory Low-Grade Non-Hodgkins Lymphoma,The purpose of this study is to: Investigate the Overall Response Rate (ORR) of the combination of ofatumumab and bortezomib in patients with low-grade B-cell non-Hodgkin lymphoma (LG-NHL) that relapse beyond 6 months of a previous rituximab-containing regimen.,41 patients will be enrolled in this trial with low grade lymphomas and will be given Ofatumumab 1000 mg and Bortezomib IV 1.6 mg/m2 weekly times 4 treatments and will then receive maintenance treatment with the 2 agents every 2 months for 1 year unless disease progression.,TERMINATED,lack of accrual,2010-07,2015-07,2015-07,INTERVENTIONAL,PHASE2,NA,SINGLE_GROUP,NONE,TREATMENT,10,ACTUAL
